focus,pd
95,1.374
92,1.385
130,1.259
86,1.408
133,1.25
125,1.276
102,1.353
75,1.412
71,1.412
132,1.253
120,1.292
101,1.356
83,1.412
73,1.412
104,1.347
134,1.247
126,1.272
100,1.359
121,1.289
97,1.368
112,1.319
96,1.371
111,1.323
128,1.266
106,1.34
70,1.412
74,1.412
93,1.381
137,1.239
69,1.412
124,1.279
94,1.377
87,1.404
136,1.241
108,1.333
127,1.269
138,1.236
82,1.412
117,1.302
123,1.282
90,1.393
114,1.312
118,1.299
81,1.412
105,1.344
107,1.337
84,1.412
98,1.365
116,1.305
78,1.412
88,1.401
122,1.285
119,1.295
77,1.412
135,1.244
79,1.412
110,1.326
113,1.316
76,0.0
131,1.256
109,1.33
85,1.412
103,1.35
91,1.389
115,1.309
72,1.412
80,0.0
129,1.263
89,1.397
99,1.362
