focus,pd
69,1.412
70,1.412
71,1.412
72,1.412
73,1.412
74,1.412
75,1.412
76,0.0
77,1.412
78,1.412
79,1.412
80,0.0
81,1.412
82,1.412
83,1.412
84,1.412
85,1.412
86,1.408
87,1.404
88,1.401
89,1.397
90,1.393
91,1.389
92,1.385
93,1.381
94,1.377
95,1.374
96,1.371
97,1.368
98,1.365
99,1.362
100,1.359
101,1.356
102,1.353
103,1.35
104,1.347
105,1.344
106,1.34
107,1.337
108,1.333
109,1.33
110,1.326
111,1.323
112,1.319
113,1.316
114,1.312
115,1.309
116,1.305
117,1.302
118,1.299
119,1.295
120,1.292
121,1.289
122,1.285
123,1.282
124,1.279
125,1.276
126,1.272
127,1.269
128,1.266
129,1.263
130,1.259
131,1.256
132,1.253
133,1.25
134,1.247
135,1.244
136,1.241
137,1.239
138,1.236
